Age,Gender,Country,family_history,work_interfere,no_employees,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,treatment
46,Male,'United States',Yes,Sometimes,1-5,Yes,'Not sure',Yes,'Dont know',Yes,'Very easy',No,No,Yes,No,Yes,Yes,Yes,No
36,Male,France,Yes,NA,6-25,No,No,Yes,No,Yes,'Somewhat easy',No,No,'Some of them',Maybe,Maybe,'Dont know',No,No
29,Male,'United States',Yes,Sometimes,100-500,Yes,Yes,No,No,No,'Somewhat difficult',Maybe,No,'Some of them',No,No,No,No,Yes
31,Male,'United States',No,Never,1-5,No,No,No,No,Yes,'Somewhat difficult',No,No,'Some of them',No,Maybe,Yes,No,No
46,Male,'United States',No,Often,26-100,Yes,Yes,No,No,'Dont know','Dont know',Maybe,No,'Some of them',No,Maybe,No,No,Yes
41,Male,'United States',No,Never,'More than 1000','Dont know',No,No,'Dont know','Dont know','Dont know',Maybe,No,No,No,Yes,'Dont know',No,Yes
33,Male,'United States',Yes,Rarely,26-100,Yes,'Not sure','Dont know',Yes,Yes,'Dont know',No,No,Yes,No,Yes,'Dont know',No,Yes
35,Male,'United States',Yes,Sometimes,'More than 1000',Yes,Yes,No,'Dont know',No,'Very easy',Yes,No,'Some of them',No,Yes,No,No,Yes
33,Male,'United States',No,NA,1-5,'Dont know','Not sure',No,'Dont know','Dont know','Dont know',Maybe,Maybe,'Some of them',No,No,'Dont know',No,No
35,Female,'United States',Yes,Rarely,6-25,Yes,Yes,'Dont know','Dont know','Dont know','Dont know',No,No,Yes,Maybe,Maybe,Yes,No,Yes
34,Male,'United States',No,Sometimes,26-100,'Dont know','Not sure',No,'Dont know','Dont know','Somewhat difficult',No,No,'Some of them',No,No,No,No,Yes
37,Male,'United Kingdom',No,Sometimes,6-25,No,No,No,No,'Dont know','Very difficult',Yes,Maybe,'Some of them',No,Maybe,No,No,No
32,Male,'United Kingdom',No,Never,6-25,No,No,No,No,'Dont know','Dont know',Yes,Yes,'Some of them',No,Maybe,No,No,No
31,Male,'United States',Yes,Rarely,1-5,No,Yes,No,No,'Dont know','Somewhat difficult',Yes,No,No,No,No,No,Yes,No
30,Male,'United Kingdom',Yes,Sometimes,500-1000,'Dont know',No,No,No,Yes,'Somewhat easy',Maybe,No,'Some of them',No,Yes,'Dont know',No,Yes
42,Male,'United States',Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,'Very easy',Maybe,No,'Some of them',Maybe,Yes,'Dont know',No,Yes
40,Female,'United States',No,Sometimes,1-5,Yes,Yes,No,No,'Dont know','Dont know',Maybe,No,'Some of them',No,Maybe,Yes,No,Yes
27,Male,'United States',No,Rarely,6-25,No,Yes,No,No,'Dont know','Very easy',No,No,Yes,Maybe,Maybe,'Dont know',No,Yes
29,Male,Canada,No,Rarely,1-5,No,No,No,No,'Dont know','Very easy',Yes,Maybe,'Some of them',No,No,'Dont know',No,No
38,Male,Portugal,No,NA,100-500,No,Yes,No,No,'Dont know','Somewhat easy',Maybe,No,'Some of them',No,Maybe,No,No,No
50,Male,'United States',No,NA,100-500,Yes,Yes,No,'Dont know','Dont know','Dont know',No,No,'Some of them',No,Maybe,'Dont know',No,No
35,Male,'United States',No,Rarely,'More than 1000',Yes,Yes,No,Yes,Yes,'Very easy',No,No,Yes,Maybe,Maybe,Yes,No,Yes
24,Male,'United Kingdom',No,Sometimes,6-25,No,No,No,No,'Dont know','Dont know',Maybe,Maybe,'Some of them',No,Yes,No,Yes,Yes
35,Male,'United States',No,NA,'More than 1000',Yes,'Not sure','Dont know',Yes,'Dont know','Somewhat difficult',Yes,Yes,'Some of them',No,Maybe,'Dont know',No,No
